Country,Frequency
China,20544
United States,4140
India,2679
Japan,1211
Iran,1058
United Kingdom,898
Germany,835
South Korea,737
Saudi Arabia,625
Italy,621
Pakistan,493
Canada,467
Egypt,461
France,447
Australia,415
Malaysia,377
Taiwan,369
Spain,344
Turkey,318
Netherlands,260
Russia,239
Brazil,210
Sweden,173
Unknown,169
Switzerland,156
Singapore,142
Indonesia,119
Iraq,119
Ethiopia,116
Thailand,112
Greece,110
Poland,98
Belgium,94
Denmark,93
South Africa,91
Kazakhstan,91
Serbia,88
Portugal,85
Czech Republic,80
Israel,79
Norway,78
Tunisia,75
Vietnam,75
Bangladesh,73
United Arab Emirates,69
Mexico,67
Colombia,67
Finland,65
Hong Kong,64
Nigeria,59
Ireland,59
Austria,59
Jordan,54
Romania,52
Algeria,50
New Zealand,46
Argentina,42
Oman,36
Philippines,36
Chile,35
Ghana,30
Morocco,30
Qatar,29
Hungary,27
Slovakia,24
Peru,24
Kuwait,23
Lebanon,22
Sudan,20
Nepal,20
Honduras,19
Croatia,19
Kyrgyzstan,18
Bahrain,17
Uzbekistan,16
Ukraine,15
Cameroon,15
Sri Lanka,14
Cyprus,14
Kenya,13
Azerbaijan,12
Belarus,11
Slovenia,11
Libya,10
Bulgaria,10
Botswana,9
Ecuador,9
Georgia,8
Yemen,8
Trinidad & Tobago,8
Senegal,7
Uganda,7
Macau,7
Afghanistan,7
Gabon,7
Lithuania,7
Luxembourg,7
Iceland,6
Malta,6
Estonia,6
Bosnia & Herzegovina,6
Burundi,6
Mongolia,5
Cambodia,5
Myanmar (formerly Burma),5
Democratic Republic of the Congo,5
Armenia,5
Palestine,5
Zimbabwe,4
Kosovo,4
Papua New Guinea,4
Moldova,4
Montenegro,4
Niger,4
Uruguay,4
Guatemala,3
Venezuela,3
Cuba,3
Republic of the Congo (Congo-Brazzaville),3
Tanzania,3
Syria,3
Madagascar,3
Panama,2
Malawi,2
Aruba,2
Grenada,2
Latvia,2
Puerto Rico,2
Gambia,2
Burkina Faso,2
Benin,2
Brunei,2
Chad,2
Bolivia,2
Mali,1
Costa Rica,1
Tajikistan,1
Sierra Leone,1
St. Kitts & Nevis,1
Laos,1
Mauritius,1
Rwanda,1
Dominican Republic,1
Macedonia,1
French Polynesia,1
Cayman Islands,1
Swaziland/Eswatini,1
Anguilla,1
Central African Republic,1
Gaza Strip,1
Sint Maarten,1
Jamaica,1
Bermuda,1
Namibia,1
Comoros,1
Albania,1
Lesotho,1
Maldives,1
North Korea,1
Angola,1
Turkmenistan,1
U,1
Dominica,1
Cook Islands,1
Zambia,1
Togo,1
Mozambique,1
